,features,model,all_rmse,train_rmse,test_rmse,time
0,"['Open', 'Close', 'Low', 'High']",LinearRegression(),879.491143385517,818.7911462858444,1088.8983847637853,0.03795504570007324
1,"['Open', 'Close', 'Low', 'High']",Lasso(),899.5089668906487,836.4529960412277,1116.6066455076864,0.13550901412963867
2,"['Open', 'Close', 'Low', 'High']",Ridge(),879.4911433309198,818.7911462858442,1088.8983845433613,0.10851335525512695
3,"['Open', 'Close']",LinearRegression(),878.6064931634667,820.209145297147,1081.0330002841372,0.0895392894744873
4,"['Open', 'Close']",Lasso(),880.0155079277138,823.1037580961529,1077.9602129748164,0.030876636505126953
5,"['Open', 'Close']",Ridge(),878.6064931540811,820.209145297147,1081.0330002460075,0.014076471328735352
6,"['Open', 'Close', 'Volume']",LinearRegression(),879.3440485657246,819.714315197025,1085.5220802769818,0.029465675354003906
7,"['Open', 'Close', 'Volume']",Lasso(),880.569381698827,822.6324373436537,1081.6534085747003,0.08013272285461426
8,"['Open', 'Close', 'Volume']",Ridge(),879.3440487747638,819.7143151970251,1085.5220811234162,0.07949113845825195
9,"['Benefit', 'SMA14']",LinearRegression(),1849.7290776876105,1747.4536404417433,2211.9185255659095,0.024829387664794922
10,"['Benefit', 'SMA14']",Lasso(),1849.72905893444,1747.4536404421685,2211.918447174853,0.014040231704711914
11,"['Benefit', 'SMA14']",Ridge(),1849.7290776814452,1747.4536404417433,2211.918525540138,0.016050338745117188
